detectIOSDevice	function	src/screens/SettingsScreen.jsx	36	no
getTelegramLinkPendingTimestamp	function	src/screens/SettingsScreen.jsx	47	no
markTelegramLinkPending	function	src/screens/SettingsScreen.jsx	75	no
clearTelegramLinkPending	function	src/screens/SettingsScreen.jsx	87	no
getBrowserNotificationRecoveryText	function	src/screens/SettingsScreen.jsx	99	no
BrowserWindowIcon	component	src/screens/SettingsScreen.jsx	111	no
SettingsScreen	component	src/screens/SettingsScreen.jsx	133	yes
TELEGRAM_LINK_PENDING_STORAGE_KEY	const	src/screens/SettingsScreen.jsx	33	no
TELEGRAM_LINK_PENDING_MAX_AGE_MS	const	src/screens/SettingsScreen.jsx	34	no
VALID_TABS	const	src/screens/settings/settingsUtils.js	1	yes
getSystemTheme	function	src/screens/settings/settingsUtils.js	3	yes
getThemePreference	function	src/screens/settings/settingsUtils.js	7	yes
applyTheme	function	src/screens/settings/settingsUtils.js	12	yes
useCoachPricing	hook	src/screens/settings/useCoachPricing.js	3	yes
useMyCoaches	hook	src/screens/settings/useMyCoaches.js	3	yes
useSettingsActions	hook	src/screens/settings/useSettingsActions.js	8	yes
useSettingsProfile	hook	src/screens/settings/useSettingsProfile.js	6	yes
CATS	const	src/screens/settings/v3/catalog.jsx	11	yes
catById	function	src/screens/settings/v3/catalog.jsx	21	yes
catByTab	function	src/screens/settings/v3/catalog.jsx	22	yes
wrap	function	src/screens/settings/v3/icons.jsx	2	no
ProfileIcon	component	src/screens/settings/v3/icons.jsx	6	yes
TrainingIcon	component	src/screens/settings/v3/icons.jsx	7	yes
NotifIcon	component	src/screens/settings/v3/icons.jsx	8	yes
IntegIcon	component	src/screens/settings/v3/icons.jsx	9	yes
LookIcon	component	src/screens/settings/v3/icons.jsx	10	yes
SecurityIcon	component	src/screens/settings/v3/icons.jsx	11	yes
CoachesIcon	component	src/screens/settings/v3/icons.jsx	12	yes
ChevronIcon	component	src/screens/settings/v3/icons.jsx	13	yes
BackIcon	component	src/screens/settings/v3/icons.jsx	14	yes
Group	component	src/screens/settings/v3/primitives.jsx	5	yes
Row	component	src/screens/settings/v3/primitives.jsx	23	yes
NavRow	component	src/screens/settings/v3/primitives.jsx	35	yes
FieldRow	component	src/screens/settings/v3/primitives.jsx	47	yes
Toggle	component	src/screens/settings/v3/primitives.jsx	56	yes
ToggleRow	component	src/screens/settings/v3/primitives.jsx	70	yes
Seg	component	src/screens/settings/v3/primitives.jsx	82	yes
DayPicker	component	src/screens/settings/v3/primitives.jsx	99	yes
CoachesSectionV3	component	src/screens/settings/v3/sections/CoachesSectionV3.jsx	4	yes
PROVIDERS	const	src/screens/settings/v3/sections/IntegrationsSectionV3.jsx	3	no
ProviderRow	component	src/screens/settings/v3/sections/IntegrationsSectionV3.jsx	12	no
IntegrationsSectionV3	component	src/screens/settings/v3/sections/IntegrationsSectionV3.jsx	39	yes
THEMES	const	src/screens/settings/v3/sections/LookSectionV3.jsx	3	no
LookSectionV3	component	src/screens/settings/v3/sections/LookSectionV3.jsx	9	yes
Check	component	src/screens/settings/v3/sections/NotifSectionV3.jsx	3	no
NotifSectionV3	component	src/screens/settings/v3/sections/NotifSectionV3.jsx	19	yes
PROFILE_VIS	const	src/screens/settings/v3/sections/ProfileSectionV3.jsx	3	no
TIMEZONES	const	src/screens/settings/v3/sections/ProfileSectionV3.jsx	4	no
ProfileSectionV3	component	src/screens/settings/v3/sections/ProfileSectionV3.jsx	16	yes
SecuritySectionV3	component	src/screens/settings/v3/sections/SecuritySectionV3.jsx	3	yes
MODE_FOOTER	const	src/screens/settings/v3/sections/TrainingSectionV3.jsx	5	no
DIST	const	src/screens/settings/v3/sections/TrainingSectionV3.jsx	10	no
TrainingSectionV3	component	src/screens/settings/v3/sections/TrainingSectionV3.jsx	12	yes
SettingsDesktopV3	component	src/screens/settings/v3/SettingsDesktopV3.jsx	3	yes
MobileSettingsV3	component	src/screens/settings/v3/SettingsV3.jsx	8	no
SettingsV3	component	src/screens/settings/v3/SettingsV3.jsx	59	yes
StatsScreen	component	src/screens/StatsScreen.jsx	16	yes
TemplatesScreen	component	src/screens/TemplatesScreen.jsx	18	yes
SPEC_LABELS	const	src/screens/trainers/FindTrainerV3.jsx	9	no
FILTERS	const	src/screens/trainers/FindTrainerV3.jsx	16	no
CURRENCY	const	src/screens/trainers/FindTrainerV3.jsx	18	no
minPrice	function	src/screens/trainers/FindTrainerV3.jsx	20	no
FindTrainerV3	component	src/screens/trainers/FindTrainerV3.jsx	28	yes
Stat	component	src/screens/trainers/FindTrainerV3.jsx	149	no
yearsWord	function	src/screens/trainers/FindTrainerV3.jsx	161	no
trainersWord	function	src/screens/trainers/FindTrainerV3.jsx	169	no
GOAL_LABELS	const	src/screens/TrainersScreen.jsx	20	no
LEVEL_LABELS	const	src/screens/TrainersScreen.jsx	21	no
timeAgo	function	src/screens/TrainersScreen.jsx	23	no
SPEC_LABELS	const	src/screens/TrainersScreen.jsx	37	no
TrainersScreen	component	src/screens/TrainersScreen.jsx	43	yes
GOAL_TYPE_LABELS	const	src/screens/UserProfileScreen.jsx	27	no
RACE_DISTANCE_LABELS	const	src/screens/UserProfileScreen.jsx	34	no
formatGoalText	function	src/screens/UserProfileScreen.jsx	41	no
UserProfileScreen	component	src/screens/UserProfileScreen.jsx	53	yes
